SysTime,Time,[CH4]_ppm,[CH4]_ppm_sd,[CO2]_ppm,[CO2]_ppm_sd,[H2O]_ppm,[H2O]_ppm_sd,[CH4]d_ppm,[CH4]d_ppm_sd,[CO2]d_ppm,[CO2]d_ppm_sd,GasP_torr,GasP_torr_sd,GasT_C,GasT_C_sd,AmbT_C,AmbT_C_sd,RD0_us,RD0_us_sd,RD1_us,RD1_us_sd,LTC0_v,LTC0_v_sd,LTC1_v,LTC1_v_sd,Batt_v,Batt_v_sd,BATT_PERCENT,BATT_PERCENT_sd,Temp_Status_mA,Analyzer_Status_mA,Fit_Flag,MIU_VALVE,MIU_DESC
09/24/202120:03:12.019,09/24/202120:03:11.955,1.81084e+0,0.00000e+0,4.02793e+2,0.00000e+0,1.97370e+4,0.00000e+0,1.84730e+0,0.00000e+0,4.10902e+2,0.00000e+0,5.00277e+2,0.00000e+0,2.96195e+1,0.00000e+0,3.11159e+1,0.00000e+0,3.42065e+0,0.00000e+0,2.96276e+0,0.00000e+0,-9.41852e-1,0.00000e+0,-5.32610e+0,0.00000e+0,5.57108e+0,0.00000e+0,1.09004e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:12.094,09/24/202120:03:12.038,1.81139e+0,0.00000e+0,4.02783e+2,0.00000e+0,1.95448e+4,0.00000e+0,1.84750e+0,0.00000e+0,4.10812e+2,0.00000e+0,5.00541e+2,0.00000e+0,2.96120e+1,0.00000e+0,3.11039e+1,0.00000e+0,3.42199e+0,0.00000e+0,2.96286e+0,0.00000e+0,-9.41852e-1,0.00000e+0,-5.32610e+0,0.00000e+0,5.57132e+0,0.00000e+0,1.09017e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:12.271,09/24/202120:03:12.214,1.81338e+0,0.00000e+0,4.02768e+2,0.00000e+0,1.96669e+4,0.00000e+0,1.84976e+0,0.00000e+0,4.10848e+2,0.00000e+0,5.00249e+2,0.00000e+0,2.96124e+1,0.00000e+0,3.11102e+1,0.00000e+0,3.41935e+0,0.00000e+0,2.96351e+0,0.00000e+0,-9.41852e-1,0.00000e+0,-5.32610e+0,0.00000e+0,5.57133e+0,0.00000e+0,1.09018e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:13.268,09/24/202120:03:13.209,1.81234e+0,0.00000e+0,4.03064e+2,0.00000e+0,1.96881e+4,0.00000e+0,1.84874e+0,0.00000e+0,4.11159e+2,0.00000e+0,5.00314e+2,0.00000e+0,2.96196e+1,0.00000e+0,3.11106e+1,0.00000e+0,3.41896e+0,0.00000e+0,2.96437e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32604e+0,0.00000e+0,5.57149e+0,0.00000e+0,1.09026e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:14.277,09/24/202120:03:14.204,1.81067e+0,0.00000e+0,4.02248e+2,0.00000e+0,1.96154e+4,0.00000e+0,1.84689e+0,0.00000e+0,4.10296e+2,0.00000e+0,5.00336e+2,0.00000e+0,2.96201e+1,0.00000e+0,3.11066e+1,0.00000e+0,3.42011e+0,0.00000e+0,2.96240e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32605e+0,0.00000e+0,5.57145e+0,0.00000e+0,1.09024e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:15.258,09/24/202120:03:15.198,1.81029e+0,0.00000e+0,4.02418e+2,0.00000e+0,1.96707e+4,0.00000e+0,1.84661e+0,0.00000e+0,4.10492e+2,0.00000e+0,5.00330e+2,0.00000e+0,2.96202e+1,0.00000e+0,3.11053e+1,0.00000e+0,3.42086e+0,0.00000e+0,2.96329e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32605e+0,0.00000e+0,5.57148e+0,0.00000e+0,1.09025e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:16.253,09/24/202120:03:16.193,1.81041e+0,0.00000e+0,4.02797e+2,0.00000e+0,1.97114e+4,0.00000e+0,1.84681e+0,0.00000e+0,4.10896e+2,0.00000e+0,5.00320e+2,0.00000e+0,2.96202e+1,0.00000e+0,3.11117e+1,0.00000e+0,3.42046e+0,0.00000e+0,2.96427e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32605e+0,0.00000e+0,5.57150e+0,0.00000e+0,1.09026e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:17.250,09/24/202120:03:17.187,1.81086e+0,0.00000e+0,4.02592e+2,0.00000e+0,1.96754e+4,0.00000e+0,1.84721e+0,0.00000e+0,4.10672e+2,0.00000e+0,5.00331e+2,0.00000e+0,2.96182e+1,0.00000e+0,3.11130e+1,0.00000e+0,3.42079e+0,0.00000e+0,2.96271e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32605e+0,0.00000e+0,5.57149e+0,0.00000e+0,1.09026e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:18.246,09/24/202120:03:18.182,1.81122e+0,0.00000e+0,4.02758e+2,0.00000e+0,1.96417e+4,0.00000e+0,1.84751e+0,0.00000e+0,4.10828e+2,0.00000e+0,5.00318e+2,0.00000e+0,2.96181e+1,0.00000e+0,3.11106e+1,0.00000e+0,3.42041e+0,0.00000e+0,2.96418e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32606e+0,0.00000e+0,5.57144e+0,0.00000e+0,1.09023e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:19.248,09/24/202120:03:19.176,1.81063e+0,0.00000e+0,4.02550e+2,0.00000e+0,1.97613e+4,0.00000e+0,1.84713e+0,0.00000e+0,4.10665e+2,0.00000e+0,5.00320e+2,0.00000e+0,2.96187e+1,0.00000e+0,3.11146e+1,0.00000e+0,3.42008e+0,0.00000e+0,2.96455e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32606e+0,0.00000e+0,5.57136e+0,0.00000e+0,1.09019e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:20.236,09/24/202120:03:20.171,1.81081e+0,0.00000e+0,4.02532e+2,0.00000e+0,1.97263e+4,0.00000e+0,1.84725e+0,0.00000e+0,4.10633e+2,0.00000e+0,5.00344e+2,0.00000e+0,2.96196e+1,0.00000e+0,3.11214e+1,0.00000e+0,3.41994e+0,0.00000e+0,2.96374e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32606e+0,0.00000e+0,5.57126e+0,0.00000e+0,1.09014e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:21.233,09/24/202120:03:21.165,1.81050e+0,0.00000e+0,4.02680e+2,0.00000e+0,1.97314e+4,0.00000e+0,1.84694e+0,0.00000e+0,4.10786e+2,0.00000e+0,5.00343e+2,0.00000e+0,2.96188e+1,0.00000e+0,3.11324e+1,0.00000e+0,3.42063e+0,0.00000e+0,2.96344e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32608e+0,0.00000e+0,5.57146e+0,0.00000e+0,1.09024e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:22.220,09/24/202120:03:22.160,1.81054e+0,0.00000e+0,4.02769e+2,0.00000e+0,1.98084e+4,0.00000e+0,1.84713e+0,0.00000e+0,4.10909e+2,0.00000e+0,5.00322e+2,0.00000e+0,2.96185e+1,0.00000e+0,3.11361e+1,0.00000e+0,3.42021e+0,0.00000e+0,2.96309e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32608e+0,0.00000e+0,5.57148e+0,0.00000e+0,1.09025e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:23.217,09/24/202120:03:23.155,1.80987e+0,0.00000e+0,4.03070e+2,0.00000e+0,1.97461e+4,0.00000e+0,1.84633e+0,0.00000e+0,4.11189e+2,0.00000e+0,5.00320e+2,0.00000e+0,2.96151e+1,0.00000e+0,3.11400e+1,0.00000e+0,3.41988e+0,0.00000e+0,2.96307e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32609e+0,0.00000e+0,5.57149e+0,0.00000e+0,1.09026e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:24.208,09/24/202120:03:24.149,1.81068e+0,0.00000e+0,4.02707e+2,0.00000e+0,1.97424e+4,0.00000e+0,1.84715e+0,0.00000e+0,4.10818e+2,0.00000e+0,5.00329e+2,0.00000e+0,2.96152e+1,0.00000e+0,3.11449e+1,0.00000e+0,3.41974e+0,0.00000e+0,2.96299e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32609e+0,0.00000e+0,5.57146e+0,0.00000e+0,1.09024e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:25.206,09/24/202120:03:25.144,1.81033e+0,0.00000e+0,4.02610e+2,0.00000e+0,1.97170e+4,0.00000e+0,1.84674e+0,0.00000e+0,4.10708e+2,0.00000e+0,5.00334e+2,0.00000e+0,2.96185e+1,0.00000e+0,3.11440e+1,0.00000e+0,3.42097e+0,0.00000e+0,2.96376e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32609e+0,0.00000e+0,5.57148e+0,0.00000e+0,1.09025e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:26.194,09/24/202120:03:26.138,1.81037e+0,0.00000e+0,4.03059e+2,0.00000e+0,1.98316e+4,0.00000e+0,1.84700e+0,0.00000e+0,4.11214e+2,0.00000e+0,5.00337e+2,0.00000e+0,2.96185e+1,0.00000e+0,3.11339e+1,0.00000e+0,3.42058e+0,0.00000e+0,2.96328e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32609e+0,0.00000e+0,5.57145e+0,0.00000e+0,1.09024e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:27.198,09/24/202120:03:27.132,1.81100e+0,0.00000e+0,4.02908e+2,0.00000e+0,1.97930e+4,0.00000e+0,1.84757e+0,0.00000e+0,4.11044e+2,0.00000e+0,5.00333e+2,0.00000e+0,2.96178e+1,0.00000e+0,3.11326e+1,0.00000e+0,3.41981e+0,0.00000e+0,2.96320e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32609e+0,0.00000e+0,5.57147e+0,0.00000e+0,1.09025e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:28.187,09/24/202120:03:28.127,1.81104e+0,0.00000e+0,4.02498e+2,0.00000e+0,1.97960e+4,0.00000e+0,1.84761e+0,0.00000e+0,4.10626e+2,0.00000e+0,5.00327e+2,0.00000e+0,2.96187e+1,0.00000e+0,3.11303e+1,0.00000e+0,3.42001e+0,0.00000e+0,2.96286e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32609e+0,0.00000e+0,5.57149e+0,0.00000e+0,1.09026e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:29.189,09/24/202120:03:29.121,1.81051e+0,0.00000e+0,4.03186e+2,0.00000e+0,1.98442e+4,0.00000e+0,1.84717e+0,0.00000e+0,4.11349e+2,0.00000e+0,5.00341e+2,0.00000e+0,2.96197e+1,0.00000e+0,3.11308e+1,0.00000e+0,3.41961e+0,0.00000e+0,2.96311e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32609e+0,0.00000e+0,5.57125e+0,0.00000e+0,1.09013e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:30.172,09/24/202120:03:30.117,1.80962e+0,0.00000e+0,4.02591e+2,0.00000e+0,1.98051e+4,0.00000e+0,1.84618e+0,0.00000e+0,4.10725e+2,0.00000e+0,5.00369e+2,0.00000e+0,2.96197e+1,0.00000e+0,3.11302e+1,0.00000e+0,3.42061e+0,0.00000e+0,2.96401e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32609e+0,0.00000e+0,5.57134e+0,0.00000e+0,1.09018e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:31.170,09/24/202120:03:31.111,1.81026e+0,0.00000e+0,4.03028e+2,0.00000e+0,1.98464e+4,0.00000e+0,1.84692e+0,0.00000e+0,4.11189e+2,0.00000e+0,5.00315e+2,0.00000e+0,2.96190e+1,0.00000e+0,3.11332e+1,0.00000e+0,3.42058e+0,0.00000e+0,2.96299e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32609e+0,0.00000e+0,5.57142e+0,0.00000e+0,1.09022e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:32.168,09/24/202120:03:32.106,1.80925e+0,0.00000e+0,4.02969e+2,0.00000e+0,1.98579e+4,0.00000e+0,1.84591e+0,0.00000e+0,4.11133e+2,0.00000e+0,5.00327e+2,0.00000e+0,2.96187e+1,0.00000e+0,3.11328e+1,0.00000e+0,3.42015e+0,0.00000e+0,2.96258e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32609e+0,0.00000e+0,5.57144e+0,0.00000e+0,1.09023e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:33.161,09/24/202120:03:33.099,1.80965e+0,0.00000e+0,4.03162e+2,0.00000e+0,1.97898e+4,0.00000e+0,1.84619e+0,0.00000e+0,4.11301e+2,0.00000e+0,5.00345e+2,0.00000e+0,2.96188e+1,0.00000e+0,3.11336e+1,0.00000e+0,3.42008e+0,0.00000e+0,2.96332e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32609e+0,0.00000e+0,5.57143e+0,0.00000e+0,1.09023e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:34.160,09/24/202120:03:34.095,1.80998e+0,0.00000e+0,4.02465e+2,0.00000e+0,1.98129e+4,0.00000e+0,1.84657e+0,0.00000e+0,4.10600e+2,0.00000e+0,5.00337e+2,0.00000e+0,2.96190e+1,0.00000e+0,3.11381e+1,0.00000e+0,3.42060e+0,0.00000e+0,2.96381e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32609e+0,0.00000e+0,5.57144e+0,0.00000e+0,1.09023e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:35.153,09/24/202120:03:35.089,1.81010e+0,0.00000e+0,4.02462e+2,0.00000e+0,1.99152e+4,0.00000e+0,1.84688e+0,0.00000e+0,4.10640e+2,0.00000e+0,5.00323e+2,0.00000e+0,2.96189e+1,0.00000e+0,3.11397e+1,0.00000e+0,3.42027e+0,0.00000e+0,2.96271e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32609e+0,0.00000e+0,5.57144e+0,0.00000e+0,1.09023e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:36.151,09/24/202120:03:36.083,1.81016e+0,0.00000e+0,4.02192e+2,0.00000e+0,1.98733e+4,0.00000e+0,1.84686e+0,0.00000e+0,4.10347e+2,0.00000e+0,5.00328e+2,0.00000e+0,2.96188e+1,0.00000e+0,3.11330e+1,0.00000e+0,3.42065e+0,0.00000e+0,2.96296e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32609e+0,0.00000e+0,5.57143e+0,0.00000e+0,1.09023e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:37.136,09/24/202120:03:37.078,1.81030e+0,0.00000e+0,4.01674e+2,0.00000e+0,1.99424e+4,0.00000e+0,1.84714e+0,0.00000e+0,4.09847e+2,0.00000e+0,5.00335e+2,0.00000e+0,2.96190e+1,0.00000e+0,3.11313e+1,0.00000e+0,3.42087e+0,0.00000e+0,2.96360e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32609e+0,0.00000e+0,5.57141e+0,0.00000e+0,1.09022e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:38.133,09/24/202120:03:38.072,1.81032e+0,0.00000e+0,4.02163e+2,0.00000e+0,1.98951e+4,0.00000e+0,1.84706e+0,0.00000e+0,4.10326e+2,0.00000e+0,5.00336e+2,0.00000e+0,2.96186e+1,0.00000e+0,3.11303e+1,0.00000e+0,3.42014e+0,0.00000e+0,2.96327e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32609e+0,0.00000e+0,5.57131e+0,0.00000e+0,1.09016e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:39.127,09/24/202120:03:39.067,1.81022e+0,0.00000e+0,4.01788e+2,0.00000e+0,1.98186e+4,0.00000e+0,1.84682e+0,0.00000e+0,4.09912e+2,0.00000e+0,5.00361e+2,0.00000e+0,2.96184e+1,0.00000e+0,3.11295e+1,0.00000e+0,3.42127e+0,0.00000e+0,2.96364e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32609e+0,0.00000e+0,5.57115e+0,0.00000e+0,1.09008e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:40.121,09/24/202120:03:40.061,1.81036e+0,0.00000e+0,4.01799e+2,0.00000e+0,1.98268e+4,0.00000e+0,1.84698e+0,0.00000e+0,4.09927e+2,0.00000e+0,5.00355e+2,0.00000e+0,2.96171e+1,0.00000e+0,3.11334e+1,0.00000e+0,3.42039e+0,0.00000e+0,2.96386e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32609e+0,0.00000e+0,5.57134e+0,0.00000e+0,1.09018e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:41.114,09/24/202120:03:41.056,1.80944e+0,0.00000e+0,4.02073e+2,0.00000e+0,1.99063e+4,0.00000e+0,1.84619e+0,0.00000e+0,4.10239e+2,0.00000e+0,5.00356e+2,0.00000e+0,2.96153e+1,0.00000e+0,3.11381e+1,0.00000e+0,3.42064e+0,0.00000e+0,2.96358e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32609e+0,0.00000e+0,5.57137e+0,0.00000e+0,1.09019e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:42.113,09/24/202120:03:42.050,1.81065e+0,0.00000e+0,4.02015e+2,0.00000e+0,1.98616e+4,0.00000e+0,1.84734e+0,0.00000e+0,4.10161e+2,0.00000e+0,5.00334e+2,0.00000e+0,2.96176e+1,0.00000e+0,3.11398e+1,0.00000e+0,3.42009e+0,0.00000e+0,2.96290e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32609e+0,0.00000e+0,5.57136e+0,0.00000e+0,1.09019e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:43.107,09/24/202120:03:43.045,1.80962e+0,0.00000e+0,4.02068e+2,0.00000e+0,1.98872e+4,0.00000e+0,1.84633e+0,0.00000e+0,4.10227e+2,0.00000e+0,5.00338e+2,0.00000e+0,2.96176e+1,0.00000e+0,3.11454e+1,0.00000e+0,3.42048e+0,0.00000e+0,2.96311e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32609e+0,0.00000e+0,5.57136e+0,0.00000e+0,1.09019e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:44.100,09/24/202120:03:44.039,1.81045e+0,0.00000e+0,4.02865e+2,0.00000e+0,1.98994e+4,0.00000e+0,1.84721e+0,0.00000e+0,4.11044e+2,0.00000e+0,5.00332e+2,0.00000e+0,2.96175e+1,0.00000e+0,3.11514e+1,0.00000e+0,3.41911e+0,0.00000e+0,2.96304e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32609e+0,0.00000e+0,5.57137e+0,0.00000e+0,1.09020e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:45.094,09/24/202120:03:45.034,1.81085e+0,0.00000e+0,4.02035e+2,0.00000e+0,1.98779e+4,0.00000e+0,1.84758e+0,0.00000e+0,4.10189e+2,0.00000e+0,5.00331e+2,0.00000e+0,2.96171e+1,0.00000e+0,3.11545e+1,0.00000e+0,3.42018e+0,0.00000e+0,2.96311e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32609e+0,0.00000e+0,5.57136e+0,0.00000e+0,1.09019e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:46.094,09/24/202120:03:46.028,1.81039e+0,0.00000e+0,4.02326e+2,0.00000e+0,1.99722e+4,0.00000e+0,1.84729e+0,0.00000e+0,4.10525e+2,0.00000e+0,5.00346e+2,0.00000e+0,2.96171e+1,0.00000e+0,3.11568e+1,0.00000e+0,3.41931e+0,0.00000e+0,2.96285e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32609e+0,0.00000e+0,5.57133e+0,0.00000e+0,1.09017e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:47.083,09/24/202120:03:47.023,1.80995e+0,0.00000e+0,4.01805e+2,0.00000e+0,1.98537e+4,0.00000e+0,1.84661e+0,0.00000e+0,4.09944e+2,0.00000e+0,5.00319e+2,0.00000e+0,2.96168e+1,0.00000e+0,3.11616e+1,0.00000e+0,3.41917e+0,0.00000e+0,2.96365e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32609e+0,0.00000e+0,5.57139e+0,0.00000e+0,1.09021e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:48.077,09/24/202120:03:48.017,1.80902e+0,0.00000e+0,4.02407e+2,0.00000e+0,1.98213e+4,0.00000e+0,1.84560e+0,0.00000e+0,4.10545e+2,0.00000e+0,5.00327e+2,0.00000e+0,2.96175e+1,0.00000e+0,3.11619e+1,0.00000e+0,3.41980e+0,0.00000e+0,2.96282e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32609e+0,0.00000e+0,5.57123e+0,0.00000e+0,1.09012e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:49.072,09/24/202120:03:49.013,1.81019e+0,0.00000e+0,4.02654e+2,0.00000e+0,1.98372e+4,0.00000e+0,1.84683e+0,0.00000e+0,4.10803e+2,0.00000e+0,5.00347e+2,0.00000e+0,2.96172e+1,0.00000e+0,3.11595e+1,0.00000e+0,3.42029e+0,0.00000e+0,2.96351e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32609e+0,0.00000e+0,5.57121e+0,0.00000e+0,1.09011e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:50.072,09/24/202120:03:50.006,1.81012e+0,0.00000e+0,4.02047e+2,0.00000e+0,1.97628e+4,0.00000e+0,1.84661e+0,0.00000e+0,4.10153e+2,0.00000e+0,5.00313e+2,0.00000e+0,2.96152e+1,0.00000e+0,3.11617e+1,0.00000e+0,3.42099e+0,0.00000e+0,2.96370e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32610e+0,0.00000e+0,5.57136e+0,0.00000e+0,1.09019e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:51.064,09/24/202120:03:51.001,1.80983e+0,0.00000e+0,4.01964e+2,0.00000e+0,1.98415e+4,0.00000e+0,1.84646e+0,0.00000e+0,4.10101e+2,0.00000e+0,5.00341e+2,0.00000e+0,2.96138e+1,0.00000e+0,3.11615e+1,0.00000e+0,3.41989e+0,0.00000e+0,2.96392e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32610e+0,0.00000e+0,5.57135e+0,0.00000e+0,1.09018e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:52.057,09/24/202120:03:51.996,1.81002e+0,0.00000e+0,4.01697e+2,0.00000e+0,1.98262e+4,0.00000e+0,1.84663e+0,0.00000e+0,4.09822e+2,0.00000e+0,5.00323e+2,0.00000e+0,2.96135e+1,0.00000e+0,3.11654e+1,0.00000e+0,3.41977e+0,0.00000e+0,2.96384e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32610e+0,0.00000e+0,5.57135e+0,0.00000e+0,1.09019e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:53.053,09/24/202120:03:52.990,1.81018e+0,0.00000e+0,4.01995e+2,0.00000e+0,1.98167e+4,0.00000e+0,1.84678e+0,0.00000e+0,4.10122e+2,0.00000e+0,5.00319e+2,0.00000e+0,2.96133e+1,0.00000e+0,3.11685e+1,0.00000e+0,3.42035e+0,0.00000e+0,2.96214e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32610e+0,0.00000e+0,5.57135e+0,0.00000e+0,1.09018e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:54.043,09/24/202120:03:53.985,1.81004e+0,0.00000e+0,4.02008e+2,0.00000e+0,1.97513e+4,0.00000e+0,1.84651e+0,0.00000e+0,4.10108e+2,0.00000e+0,5.00317e+2,0.00000e+0,2.96134e+1,0.00000e+0,3.11599e+1,0.00000e+0,3.42043e+0,0.00000e+0,2.96284e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32610e+0,0.00000e+0,5.57135e+0,0.00000e+0,1.09018e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
09/24/202120:03:55.038,09/24/202120:03:54.980,1.81005e+0,0.00000e+0,4.02287e+2,0.00000e+0,1.97123e+4,0.00000e+0,1.84644e+0,0.00000e+0,4.10377e+2,0.00000e+0,5.00313e+2,0.00000e+0,2.96135e+1,0.00000e+0,3.11509e+1,0.00000e+0,3.41981e+0,0.00000e+0,2.96352e+0,0.00000e+0,-9.41815e-1,0.00000e+0,-5.32610e+0,0.00000e+0,5.57137e+0,0.00000e+0,1.09020e+2,0.00000e+0,2.00000e+1,1.00000e+1,3,-1,Disabled
